comment,label
you didnt watch cheekh he played a villian incredibly well against sabaqamar,NA
dustbin mein koora phenko kutto,A
mujhey tumhari shakal zeher lagti hai,A
dunya main croron lun hain agar tera cut bhi gaya to khair hai,A
tum bharosay ke qabil nahi ho,A
tajiron per tax chori kernay ki wajah se NAB ka khof taari hai,A
bhai hat yaha bangladesh bangladesh,NA
kuch roz qabal ATM se card chori mein giraftaar salahuddin ko shadeed tashaddud ka nishanah banaya gaya jo ke zakhmi ki taab na latey huwey zindagi ki baazi haar gaya,A
ajeeb actors flop drama,NA
came from tiktok edit,NA
km km khane k duran to sar p dupatta orh liya kre s boorhe dekho ye b nage sa bti hy,NA
bangladeshi viewers attend here,NA
hakumat se maeshiyat nahi chal rahi to iqtedaar chor dey 1 saal mein economy red zone mein daakhil ho gayi hai,A
itni takar larayi h drama name h meri zindagi h tu,NA
kon kon india,NA
they added subtitles now,NA
ek thaper sy hospital shift,NA
first episode watching,NA
meri biwi ne mujhey apna kutta banaya huwa hai,A
part kab tak aayaga,NA
gundagardi se reyasat ko yarghamal nahi banney dein gey,A
sab such bta dia to inki gand  phat jani hai,A
hakumati karkardagi khoda pahar nikla chooha jesi hai,A
policies per tanqeed kernay per mera twitter account block ker diya gaya hai,A
Imran Khan dramybaaz hai uski apni party loton se bhari hui hai,A
Tum khabees nahi kutti aurat ho,A
hi keei ho,NA
jawaria abbasi and shamun abbasi same dramay,NA
janab pakistan he pakistan muslim country dikha kya rahe hea app log pehle drama meh sab nehi huwah karte teh,NA
when will next video be released,NA
in assignments aur papers ne hamari gaand maar k rakh di hai,A
alright ill like your comment but tell me will it get you anything,NA
sab ne darma dekha ak chesse not ni kisi ne ak symbol bana howa ha wo kisi nazar ni ay ga,NA
tatti se yaad aaya teri ammi theek hai halala ki aulaad,A
pakistani drama bahut bahut khubsurat family shat dekhne bala dramaindian drama sabse bakwas drama hote jo family torne bala drama hote,A
ducky bhai khoty ka bacha hai,A
Jis bhagoray ko aik naam yaad nahi ho saka wo leader hai in kanjron ka,A
hakumat har tarah ki laqnooniyat ker rahi hai aur ab karachi ke ander bhi daakah dalney lagi hai,A
ab apne apko pathan mat bol dena,NA
poori dunya mein fasadaat ki jarr yahoodi hein,A
bilawal bhutto zardari ka kehna hai ke asif zardari ko qatal kernay ki koshish ki ja rahi hai,A
time waste,A
beta thanay mein gand thokta hun teri,A
anyone from nepal,NA
aby oh machar madarchod mjy tung na kr,A
imran khan ka naam ab se u turn khan hai,A
in gadhon ko bilkul bhi hakoomat karni nahi aati,A
i love muhammad s a w,NA
dosti se inkar per SHO ne larki ko zeyadti ka nishanah bana diya,A
wakeel ne khatoon police ahelkaar se badtameezi ki aur tashaddud kiya,A
shooting bohat pehle huyi,NA
us shaitan ko zara yaad karo jis ne tumhen facebook ki pehli profile bana ker di thi,A
tmago pookie vabir jonno drama ta dekhte aslam she always drama eta niye pore thake,NA
Modi hosh ke nakhun le,A
sala oka e mreya e ek moke nal kam hogia e,NA
narendra modi ko nazar hi nahi aa raha ke curfew hatney ke baad kashmir mein khoon hi khoon hoga,A
so sad no sub indo english,NA
amir bhai jan mangy gy jan dein aur gand mangen gy to gand b dein gy,A
ye black dress wali malaika arora jesi lg rahiii,NA
jaldi bta bharway kitni der tak phunch raha hai,A
from bangladesh uffff keya drama hay bhai,NA
who watching now,NA
iam watching in tv for trp,NA
imran abbas first one who permote cybertruck in pakistan drama,NA
kashmiriyon ke haq mein nikali gayi railey mein shirkat na kernay waley kaafir hein,A
bangladesh kon kon he,NA
hum jins parastoun ko society se bahir nikal diya gaya,A
wah taz bibi what a look,NA
in donon ko aiwan mein jooty parny chahiyen,A
kis kis ne tesla cybertruck price check h,NA
mai ye drama in logo wajah nhi bal cybertruck wajah dekh rhi hi,NA
anyone watching from nepal,NA
yh drug and dance wla scene ap kia msg dy rhy young gernation koasa scene nhi hona,NA
ye drama kuch kala zyada nahi,A
kamiyaar bohot accha kiya car jalake,NA
from nepal like here,NA
kanjaron ki eik bat ki bhi samajh nahi aa rahi,A
Judiciary mein andhy logon ki koi jagah nai hai qanoon andha hota hai lekin andhy judges ka idr koi kam nai,A
almost sabhi dramaz gheesi peety story,NA
those dramas maintain its own culture and identity,NA
drama song bohat acha,NA
me just now,NA
wo kyu aisa ha abhi bohat kuch dikhega,NA
very very god drama hero bhe very god heroin bhe very god,NA
waadi mein jesa zulm aaj ho raha hai iski misaal pehlay nahi milti,A
wah kiabandle hayitnai bari car parking ghar kay ander mojood hay gari ghar say bahir park hay,NA
anyone in january,NA
ye humara kalchar to ni h,NA
kuch news channel meri kirdar kashi ker rahy hein mein unke khilaf qanooni karwai karun ga,A
you from where,NA
tu pedaishi madarchod hai,A
ye lanti shakhs wazeer e azam pakistan ki zindagi ko khatrey mein daal raha hai,A
khalistani sikh kanjar hein,A
i love it pakistani dramalove from bangladesh,NA
parachinar ke gaon mein 5 saalah bachi ko jinsi zeyadti ke baad qatal ker diya gaya,A
khalistan wala chuteyapa canada ja ker karo,A
maseehi larki ko zabardasti musalman kiya gaya tha,A
allama tahir ul qadri reyasat bachaney ke dawedaar thy lekin woh seyasat se bhi hath dho bethay,A
islamic jamuria pakistan drama sham,NA
arab legue aur turkey ne israel ke wazeer e azam netanyahu ki janib se maghrabi kinarey ki jordan ki waadi mein yahoodi bastiyan bananey ke ailaan ki muzammat kertay huwey beyan ko nasal parastaana qarar de diya,A
so beautiful drama,NA
oh bhai pakistani dramas kuch vulgar nahi hota family dramas hotay,A
whos watching on december,NA
thank you for at least one good drama,NA
blockbuster flop i dont know,NA
shehbaz sharif double shah na banen aur nah hi double game karen,A
Marrd banein aap eik chaar saal ki bachi nahi hein mardaangi peida karein apney ander,A
imran khan mera sohna yahoodi leader,A
i love allah i love allah i love allah i love allah,NA
who watched my character as a chef,NA
ghairat ke naam per betay ne maa ko qatal ker diya,A
sharab sheesha dikhana zaroo dramay hisaa moaasra kasay kharab karna shame shame,NA
civic wala launda aura hoo gya,NA
please translate english,NA
anari hukmaran ne mulk ka wo haal ker diya jo koi dushman bhi nahi ker sakta tha,A
m in january,NA
teen mahina baad aata dekhne liye,NA
zara sy koi bat hoti nai foran hospital my admin seen credit,NA
agar karkardagi ki bunyaad per usman buzdar ko hataya gaya to isi tarah ka mutaalbah imran khan barey bhi shuru ho jaye ga,A
episode ketnai time baad ata,NA
mtlb h pakistan m ye sb real m b hota h,NA
i love mohammad saw,NA
noon legue aur jhoot eik dosrey ke mutraadif alfaaz ban chukey hein,A
Ali ki speech ne opponents ko jala k rakh dia,A
yae rite but pakistan masoom sa disco club dekh k hansi bohot aai,NA
mustafa kamal ko chahiye tha apna plan share kartey magar unhon ne siyasat shuru ker di,A
omg fahad mustafa killing itsuper hot,A
300 arab maaf ker ke awam ko bohut bara teekah lagaya gaya hai awam ke liye hakumat ke paas koi relief nahi hai,A
watching washing correct ur spelling,NA
yes me to,NA
corruption per report hakumat ke moun per tamanchah hai,A
aliyaar hit different,NA
awam apni hifazat khud karey police ke jawaan pait se hein,A
karachi ke area liyari mein eik janooni group ka geo news ke reporter per tashaddud,A
patwari mojoodah halaat mein bilawajah zaleel ho rahey hein,A
replies until i replied,NA
han bhuvam bhosrike nazar nahi aa raha aaj kal,A
baba guru nanak ke janam din ko allama iqbal ke youm e pedaish se milaney waley aqal ke andhey hein,A
sindhi bikao qom hai,A
indian song meri zindagi he tu inspired title,NA
iran ne daawa kia hai k amreeka k 80 dehshatgard foji halaak ker diye hein,A
bary betichod niklay aap to,A
aby gashti aurat apni mou say b allah ka naam na lay,A
hamen kehtey hein office aao arey bhai kachra sarkon per hai office ja ker kaya karun ga,A
we need english subtitle from bangladesh,NA
kanjar ka bacha ye do alag alag jahaz ki pics hain bharwaa rundi ki aoulad,A
bangladesh theke k k like daw count hok,NA
world sabse mehangi cars mese ek officially imported for drama in pakistan for first time,NA
cyber truck fake lagta ha,NA
yahoodi us waqt tk baaz nahi ayen gey jab tak unki maa na chod di jaye,A
ima from in bangladesh,NA
galat tu apky bhai ne kiya he neend me gari chala raha,NA
aashiq bhi hun qatil bhi hun loru bhi hun gandu bhi hun,A
first episode vah bhi itne views,NA
malala bhartiyon ke sath holi mana sakti hai magar kashmir ke iye awaz nikaltey huwey usey mout perti hai,A
Imran ziddi wazir e azam hai,A
Islam mein ghair muslim logon ke sath imteyazi salook ka hukam hai,A
bartanvi shehar leeds ke town hall ke bahir fiza modi dehshatgard ke naaron se goonj uthi,A
kia bat hai tumhari karo in haramzadoun ko nanga,A
g thk kaha ap ny,NA
izzat se jeeny ka aur kisi bharwy se nai darny ka,A
any one in ramdan,NA
khuda kary tu kuttey ki mout marey,A
aj civic waly b koi okat nai tesla k agay civic waly b chand parr gae,NA
us dalley ne mujhey thappar mara,A
pakistan ke baad iran ne bhi bharat ke jahazon ko apni fizai hadood se dour rehnay ki hadayat ker di,A
bhai namaz me bolo idhar drama neche nahi samjhi,NA
russians kutti k bachy har jagah drugs supply krty hn,A
kamiyar k mother father sy tu nhe malom hota k ya in beta hy,NA
NAB kath putli ban chuka hai,A
watching from nepal,NA
hhh i know,NA
love from bangladesh my favourite actor and actress,NA
love pakistan drama bangladesh,NA
trump ne bush ko ahmeq qarar de diya,A
2% vote lenay wala molana fazal ur rehman kis moun se keh raha hai ke main hakumat ko giraney ja raha hun ye bohut hairat angez baat hai,A
who started it watching on december,NA
darama to time upload karo,NA
me too from nepal,NA
"switzerland ""modi dehshat gard"" ke naaron se goonj utha",A
please add english subtitles,NA
bilkul chootar aadmi ho bhai tum,A
under eye mask cheeks pe lgaya hua he,NA
lahore mein mamoun ke khilaf facebook per post laganey per nojawan ko firing ker ke qatal ker diya gaya,A
hakumat ne mulk mein aaeni bohraan paida ker diya hai hakumat aur pakistan ka eik sath chalna ab mumkin nahi raha,A
koi bhi sar e aam thappar maar ker chala jaye kiya yehi hai mulk mein aurat ki izzat?,A
yahan kissi ny janat mirza daikha kiya,NA
new lebral republic of pakistan,NA
vote for daily episode,NA
i love allah muhammad saw,NA
please arabic translation,NA
bachi ke qatal mein hamsayedaar 2 behnen mulawwis niklein,A
pakistani dramas bs club hi kami,NA
wehshi darindon ne 10 saal ki bachi ko rape ker k qatal ker dia aur laash naaly mai phenk di,A
chaar deewari se bahir rehney wali aurat azaad nahi balkey khabees hai,A
i love muhammad i love muhammad i love muhammad i love muhammad,NA
kis kis ny aja he dekhna shuru kia ha,NA
bilawajah bhutto pehly bolna seekhey aur phir tanqeed kary kaaghaz se parh ke taqreeren kernay waley ko kiya pata mulk mein kia chal raha hai,A
afghani namak haram thay namak haram hain aur namak haram hi rahen gay,A
oye nikloo tumahari aesi k tasi mere ghanty k king,A
pakistan dehshatgard paida karnay ki factory hai,A
tiktoker ke liye road pe chutiyon ki tarah chal ke do dialogue bolna trend kehlata hai,A
50 lakh afghaniyon ko wapis bhaga do mulk mein aman ho jaye ga,A
imran khan ki team inteha darjey ki naehal nikammi aur fazul hai,A
ek mukke pe hi emergency me agaye,NA
teri gaand mai mirchi lagi to main kia karun,A
dhandali ki paidawaar aur kathputli wazeer e azam ko har surat ghar jana hoga,A
pehli episode half and half,NA
very best drama,NA
main akser socha kerta tha ke wo kesy musalmaan hongey jinhon ne us waqt yazeed ka sath diya hoga aaj arab ke badshahon ko dekh ke yakeen aa gaya ke us waqt bhi aisy hi mufaad parast log hongey,A
inko sahi nahi kah rahi but turkish normal dramy dekho hosh ur jayenge even korean chainies dramy bhi bar behtar hoty unse dressing wjha,NA
then also allah made place in my heart and they became practicing muslim inshallah but they cant change name to convert officially becoz jhandu nationalist ideology jamnicy jss,NA
mery abu ne shikayat ki hai k teri amma sahi maza nai de rahi aaj kal,A
gham ha ya khushi meri zindaghi tu,NA
un mai se ik toh ab mujhe yahoodi bacha lagta hai,A
watching from philippines,NA
atif zaman ne 66 se zaid afraad ko 1 arab 9 crore 54 lakh rupey ka choona lagaya,A
Government ki naaqis planning ki wajah se selaab aa gya,A
iska naam hai nabeel bhosriwala,A
daftaroun mein khawateen sirf time zaya kernay hi aati hein,A
bs ok h,NA
mosam acha hai aa ja meray lorey ki sawari ker le,A
me just started,NA
ye hakumat tung nazar hai aap ko NRO ki beemari ho gayi hai,A
i love mohammad,NA
elon musk be like our cyber trucks tyres cannot be punctured ary le kar dikha te,NA
kon kon instagram reels dekh aaya ye drama dekhne,NA
another ost by asim azhar,NA
bhutto ki aakhari nishani khusra hai,A
please english subtitle thank you,NA
ub drinking boht aam kr k dikhaya ja raha behayai k sath sath,NA
kuttey ka bacha mera mobile cheen ker le gaya,A
my favorite drama dialogue,NA
iffy bhai niklo tumhare aise taise,A
Aisa koi madarchod rakhte hi nahi jo Khan ko blackmail kar sake,A
why we have to see nudees in dramas sleeveless and shalwar trouser less girls,NA
isse kya mai din me ye drama khatam kru ya fir pura saal laga du tu hota kon hhai muje ye bolna wala tere comments lagra k tu berozgaar nalla baitha jo drama bhi dekhra comments padh k reply bhi kr raha,A
laanat title pose kesa begherti wala bnaya ahista ahista pakistani dramay b vulgar horahe hn,A
india ke sath do tarfah tijarat bilkul band ker di jaye,A
why dont you stop begging likes bheek maang kar kya mil jata bills pay hotay,NA
sary unmarried bnye hy,A
police ke danday khanay se 2 nabeena afraad behosh ho gaye,A
ganjay dramaybaaz teri maa ki siri,A
omg best best best love from bangladesh theme song totally obsessed,NA
allah ham sab ummrah sahadat naseeb farmaamennnnnnnn,NA
saleem mujhey phone ker ke gaaliyan nikal raha hai,A
intihai koi ghtyaa or randi ka bacha hai tu zaidi,A
billal jada sarif lagta aise playboy character usko suit nehi kar raha,NA
sara qismat ka khaa ry ho bhenchod,A
Afghani dehshat gard hotay hain,A
any bangladeshi here,NA
asim and haina together so cuteeeeeee,NA
bacho zindagi mein har bura kam ker lena lekin kabhi tiktoker nahi banna,A
maqbooza kashmir mein qabiz bharti foj ki janib se reyasti dehshatgardi ka silsila jari hai,A
JUI islam card istemaal ker rahi hai,A
yar ye kamiyar sath jo lunch kar rahi wo larki kon ha,NA
zartaj gullpupho g drama sher,NA
very predicable story and mixture of khani and ishq musrhid drama last episode tak story bata sakta hu larki hero starting me nafrat karti hogi hero starting me aik bura insan attitude wala hoga latter on hero mohabbat hojaegi phr heroin peeche hoga acha insan ban jaega end tak heroin convince krta rahega side character me hero father ya mother heroin k khilaf hogi mangetar bhi khilaf hogi tuff time denge ye side character heroin end me heroin bhi mohabbat hojaegi bat khatam and and har darame me hero ya heroin us family itni ameer dekhana zaroori nh hota tora sa to pattern change kro taake pakistan population character connect kar sake,NA
st episode favourite pakistani heroine and hero first time on screen couple best of luck,NA
arbiyon aur unke leaders ke liye zindagi ka matlab hai khawateen nasha aur eyashi kerna hai,A
chootya bn gya bhen ka lora,A
nashy wali sari chezen haram sirf sharab loog haram samajhte cigrate pete rehte,NA
shraab noshi haram hay cigarette noshi muzhir hay what about naach gana touching hugging kissing indecent dressing etc why hv ths bcm a new normal to showcase in dramas,NA
aa gaye bhenchod,A
pakistan ki sarhadoun ki taraf dekhney walon ki aankhen nikal dein gey,A
kuss marani k hindu kanjar,A
watching from bangladesh,NA
any bangladeshi here,NA
tum bhosriwaly ho aur tumharey baap daada bhi bhosriwaly thay,A
imran sahab ko bs media ki gerdan dabaney ki fiker hai,A
me start from episode,NA
mein tujey dekh kr samjha k kisi polio k ad mein polio wala bacha hai,A
so what its her style,NA
itni insult hey larki car,NA
yar ye larka bc kitna harami he hahaha,A
behtr hy k shalwar kamez wearing krlo es modern kapry,NA
teri maa ki siri,A
me to bro,NA
any bangladeshi here,NA
drinking drugs zina normalize kar rha aisa drama dkha never watching it again,NA
ek bat bataun reply karne se moat nahi ati kardia karo bhenchod,A
"bilawal sahab hosh ke nakhun lein ""zinda hai bhutto"" ka naarah larkana mein dafan ho gaya hai",A
mazhab ke naam pe hamarey loug itni ibadat nahi kertey jitni nafrat kertay hein,A
here with u bro,NA
meray barey mein soch ker bola karo ager main bola to tumhen chupney ki jagah nahi miley gi,A
mustafa room bhhhhhhht ganda usko safai krni chahiye,A
excuse me pakistan me farmer market nahi hota itwar bazaar mungl bazar hota he,NA
see see only drama see no tesla,NA
Miami per kaalon ne qabza kiya hua hai,A
i agree with you,NA
bagerti shuro kar di yahi umeed,NA
police har gunah kernay walay ko rishwat le ker chor deti hai,A
amazing drama iam form bangladesh,NA
ing sub pls,NA
nawaz sharif ko hangaami tibbi imdaad mein jaan boojh ker hakumati laparwaahi aur ghaflat ka rawayya mujrimaana hai,A
abe meri mohabbat karke tune churane lage,NA
nangapan thoda over nai hogaya,NA
ohh mahh god mjhy ya story naggin jasii lag rhi ha wo bhi phly asa hota ha play boy jab larki sy pyar hota ha bilkul change ho jata ha,NA
mujhay ye salar sikander vibr de rha,NA
asif zardari aur faryal talpur ka pindi mein trial badneyati per mabni hai un per ilzamaat media trial ke siwa kuch nahi,A
khan k danday k baad ministers ki bund bandook hui vi hai,A
you guys just know how to get flavor in these dramas,NA
who watching jan,NA
meri darhi ki wajah se mujhay america ka visa nahi diya geya,A
best wishes to bangladesh people from pakistan,NA
im not happy and still search for my happiness in,NA
bangladese kon kon de raha ho,NA
dr hannia looks like my older doctor daughter i havent seen in about years ago,NA
royal enfield hota bike naam chupaya kyu,A
youthiye tabahi ko tabdeeli sabit kernay mein masroof hein,A
yahan se lora phenk k maru ga na to aar paar ho jaye ga,A
bilawal jesay khusray siyasatdaan pakistan ke liye khatarnaak hein,A
aleena tum mjy bahut pasand ho mery sath sex kr lo,A
drama kasound khraab ha kis na edit kya ha bht bekaar sound quality samjh nahi araa,A
Yara bc kya ho gya he teri vedios me mza hi nai ata,A
i love pakistani drama,NA
goat mean bakri i think u r mean great,NA
israeli wazeer e azam netanyahu election se pehlay har tarah ke ghair qanooni aur jarhaanah beyanaat de rahey hein,A
hakumat jhooton ka kunbah hai jo ahista ahista such ugal raha hai,A
just go to dha isse bhi zayadax vulgar dressing mey peeps dikh jayenge apko,NA
tum apney kam se kam rakho beech mein maa na chudao,A
Media per pabandi ka ilzam behooda hai,A
pore epi ek cyber truck k promotion k ilwa khuch nhi not impressed by first epi,NA
first episode hi dekh rahi phirse rewatch karne aa gayi,NA
lanti ne aakhari lamhey per plan cancel ker diya,A
most irritating drama,A
yes me watching drama in morning november,NA
inteha pasand parties ka 70 saala mansooba kamyab ho gaya,A
jalney ka bhi koi qasoor nahi kia karen hum gandu hi kuch niraley hein,A
love from bangladesh,NA
ameen sumaa ameen,NA
nichy teri baji ka randi khana hai jo bar bar jany ka keh raha hai,A
vote ko izzat do ka danda inhi ki gaand mein ghusa dena chahiye,A
absolutely right dear,NA
ya ha sb english q bol ra ha pakistani mar gy sary kya,NA
in shaa allah ameen,NA
in musalmaan kutton ko dekhty hi goli maar do,A
taj bibi in new version,NA
ager idaarey shahbaz sharif ko nahi pakartey to is mulk mein daaka aur chori ko jaiz qarar de dena chahiye,A
i think it would be best,NA
i love allah i love muhammad allah pak,NA
delhi fasadaat mein darjanon musalmaan qatal kiye ja chukey hein,A
baqwas drama woi story larki gussa kregi larke pyaar hojaye ga kuch new ni,NA
chairman NAB ne sharjeel memon ke khilaf badunwaani ka reference dair kernay ki manzoori de di,A
ghar me itni sari jaga gari bahar khari karnay maqsad kiya,NA
PTI ke assembly member ki checking ke liye rokey janey per police ko dhamkiyan,A
afsos afsos kiya ho gaya h hamary islamic country,NA
kisi ne aaj tak karachi ki taraqqi ke liye kuch nahi kiya jo bhi aaya usne ne sirf loot maar ki hai,A
india mein sikh community per jokes bnaye jaty hein,A
ek bat samajh ni iee phaly he episode sharab noshi night club,NA
aww so sweet of you for spreading love and peace and same to you as well,NA
top pakistani drama pr kab aayega,NA
aafreen nai nooniyon aur jiyalon per jo apney leaderon ke kharbon khaa janey aur rungey hathon pakrey janey per bhi choon tak nahi kertay,A
boring st episode,NA
yes only on pinkish girl,NA
socha drama pura khatam hone baad dekhungi basab sabar nahin hota reels pe reels aaye jaa rahi saamne dekhna shuru kar rahi hu drama,A
ye hakumat bachgaana harkaton per utar aye hai aur subai khudmukhtaari per hamley ker rahi hai,A
i think our new year comes in muharram,NA
plz bts v coca cola add try in pakistan plzzz,NA
toxic masculinity should not be glamourised,NA
aqaid per samjhota kernay waley islam ke ghaddar hein,A
tu mera lulla choop le,A
bht over dressing,NA
paisa kamane liye har ek episode me timer lagake admi logo riswat khata logo sirial nahi dekhne ham log mar nahi jaiga jyada acting mat karo,A
tum teen bharwy nangay ghoomty rehty ho,A
how many here after watching a reel,NA
jo hakumat k khilaf boley usey jail mein daal do,A
mukammal lockdown ki wajah se kashmiriyon ka beroni dunya se rabta kata huwa hai,A
hamare desh me isase acche series he,NA
please add english subtitle,NA
tum apni gand de do hussain tareen ko,A
kiya kilagarakkhe ho episode etnedin bad bad dea raheho,NA
eik to goray bhenchod apni behnon ko hi chod detay hein,A
qoum khaarjah policy mein islahaat ke intezar kerti rahi bharat kashmir per apna qabzah pakka ker gaya,A
lanat molana diesel per aur lanat billo rani per,A
english subtitles please,NA
sidhu moosewala de fan hajri lagayo,NA
vote for billal abbas,NA
bohat hi buri bat hay drama music kay beach nabi naam lena,NA
salahuddin se barey zehni mareez woh police waley thy jinhon ne us per tashaddud kiya,A
hala and her dad wife and husband from humtum,NA
whos watching first episode today,NA
who watching today feb,NA
yaar drama ho ya real pakistan clubs bnd krwao females clothes sai krwao request krta ho un female say jo upper class hein kindly dress acha pehno ya chadiyan na pehno,NA
kamal drama ha,NA
shit i loved him here,A
yar ye ajeeb pen yakki hai,A
aaj pakistan mein mehengai arooj per hai aur stock exchange zameen bos ho gai hai,A
gujranwala jalsa dekh ker niazi kutta pagal ho gaya hai,A
kanjar log kanjar hi rahen gy chahey aap unke liye jo marzi ker lo,A
corrupt legue patwaiyon aur gullu butt jesey logon ke zor per chal rahi hai,A
badeen ke kafi hindu khandaan bhi jabri mazhab badli ka shikar ho chukey hein,A
shohar ne 5 hazar rupey mein biwi doston ko bech di,A
Humari awam chutiya hai islam main gali haram hai aur humare awam akser galiyan sun kr mazay leti hai,A
most pakistani dramas show elite class who make up only of population,NA
not an appropriate place,NA
mubashir luqman wo tuwaif hai jo seyasat mein ghus gai hai,A
trump bhi bara gandu ka bacha tha sb mexicans ki maa chod gaya,A
tiktok k khusron ki bund maro to aagy se paisy mangtay hain,A
tumhary ander thori sharam baqi hai to zeher khaa lo,A
noon legue ke jalsay mein tu behen ka rishta denay gaya tha?,A
love you all brothers and sisters,NA
eik to ghar ko kanjar khana bana k rakha hua hai,A
bank intezamiya ne aaj ghreeb bazurgon ko pensions denay se inkaar ker diya,A
president ne nasal parasti ki taaqat ko istemaal kiya,A
Sara ka ghar itna ganda tha aisy lag raha tha jesy kachrey ka dabba ho,A
i watching december,NA
samjh bahir ye kis jaga culture promot kya jaraha like inspired by indian movies hollywood type culture dikhao yr,NA
kon kon aj yah st episode daikh rha hy,NA
khani drama same story line feroze khan wala,NA
like my coment,NA
anyone in bangladesh,NA
teray moun se ye baten achi nahi lagten tu to khud ooper se neechay tak keechar mein lat pat hai,A
molana rent per dasteyaab hein,A
its a real cyber truck made in pakistan,NA
agr yaha feroz khan hota to ye acting us pu zalim lagti,NA
Allah kary tu maray rundi aurat,A
nice bangladesh from,NA
sala over acting,NA
jitna logo na darma dakha ha intna log hi nikal aya to pakistan ma inqalab a jaya ga,A
third class dressing ye chal kia rha aj kal k dramy modern dressing k nam pe esi dressing phr nangi hi a jatiii koi third class director producers hon ge,NA
i love your channel,NA
amreeka ne iran per mazeed sakht pabandiyan laga di hein,A
ost hit different level drama agree,NA
please yaar kuch to sharam ghalease dramay k neech paak rasool name likha like likes k liye kuch bhi,NA
pakistani foj k hath lakhon bangalion k khoon se rangay huay hain,A
musalmano gugal k aulad bolte india me islamic scholar deshnkla kr dte kuu,NA
yaar ye baap beti khaan say laga rahe ye tu khoudh itne young jo beti bani hi wo tu wife ho lag rahi hi koi kaam age girl leni chahiyee,NA
delhi police ne ehtejaj kernay waley talba ko giraftaar ker ke jailon mein tashaddud shuru ker diya hai,A
nadir ik tang kha k e behush ho gya,NA
drama complete hoiche,NA
i m from bangladesh i love pakistan dramas bahat acci he,NA
in amreeki kutton ko afghanistan se nikal jana chahiye,A
vpn on top,NA
isko kehty hn bund wajna ,A
jb bhi zrurat pari tum ne dhoka hi diya hai,A
teri phudi b mari hy imran ne,A
bangali wajjen mery lun pe,A
kuch randi k bachy fghani hn jo paistan k khilaf bhonk rahy hn,A
anyone from india,NA
mukhtalif musalmaan ilaaqon mein police gharon mein ghus ker aurton aur bachon per tashaddud ker rahi hai,A
yeh nalaiq aur selected hukmaran tamam jamhooriyat pasandon ki zuban dabaney ki koshish ker rahey hein,A
shiay apni majlis ke akhir main wahan mojood aurton ke sath zina kerty hein,A
aj tou kafi hogai kamyar bhai,NA
did asim azhar sing ost,NA
tu ne meri zindagi dukhon se bhar di hai kutta,A
police ne shehriyon per tashaddud aur ghair qanooni harasat ko chupaney ke liye thaaney mein smart mobile phone laney per pabandi laga di hai,A
srieusly ye pakistan hi na ye kis tarh darama ye kia story sach mea ye pakistan hi na kia dikha rahe hm pori dunia ye konse muslman discussing actor ache apne but kia dikha rahe hm afsos hota dekh,NA
please darma director sy guzarish kha ak muslim mulik sy hn daramy mn club sharab walay scene na dikhya krn young genration aisy darma dakh kr kia lesson len gi jo cheze hamry islam mn manha hy ap usy parmote na krn,NA
aag laga di aag laga di aag laga di first ep ne bhi khamyar ne gari bhi aag laga di,NA
damn true yaar,NA
bharat ne apney aeen ki khilaf warzi ki aur secularism bhi khatam ker diya,A
tatti admi teri soch bhi tatti hi hai,A
ja faheemy bund hi marai hai,A
general qasim suleimani ka qatal dehshatgardi hai,A
sarhey char hazaar se zaid zair e hirasat kashmiriyon per kaala qanoon lagu hai,A
bilkul bhenchod yahi sb chal raha hai,A
loved these pakistani houses,NA
bachoun ko girafaar kernay wala bharat kuch bhi ker sakta hai isiliye kashmir ke har ghar mein khof ka dera hai,A
drama dekhne pahle yah look paisa dekhna padta jahar lagta,NA
toba toba ye sab dance sharab ye sab hota pakistan me yarr log nepal ye sochte pakistan kalma bunyaad pe bana wo hi ak wahid mulk puri dunya me jo musalman izzat abru pura pakistan pakistani apni rasto bhatak gaye,NA
hadees mein hai ke ghair muslim ko khairaat na do,A
xe lol at least i wasnt,NA
please add eng subtitles,NA
mashaallah pori team allah kamiyabiyan dein allah kareem aameen,A
they nailed it what a amazing acting and body language their power match so perfectly and most my goodness,NA
pakistan drama like from bangladesh,NA
guzishta governments ki 10 saal ki loot maar ne mulk ka khazana khali kr dia,A
eik hi rassi se latka ker sab kaalon ko phansi de deni chahiye,A
eik crore nokriyon ka waada kernay wali hakumat apney waadey se muker gai hai,A
mujhey lagta hai tera taaluq kisi kuttey ki nasal se hai,A
shukr fazoll and booring manto ni ho khtam hogyaa,NA
bhai dhadka nahin chal rahi,NA
pakistan per hamla huwa to bharat mein neya mulk baney ga,A
lanat hy teri agli pichli tweet pe or tum pe or qadyanion pe b,A
dushman ko jb tak thapper nahi maaro gey usey samajh nahi aye gi sb se pehley air space band ki jaye eik jahaz na guzernay diya jaye bharat ka,A
Usey kamai se ziyada paisa honey pe jail bheja gaya,A
rahim yar khan mein mandir ko aag laga di gai,A
Maqbooza Kashmir bharti foj ka qabrustan bn ker rahy ga,A
nadir tu aik thapar maar nikla,NA
kab meray ghar aur zindagi se dafa ho rahi hai kanjari?,A
amreeki aurat ho aur randi na ho ye ho nahi sakta,A
ye channel india me ban nhi hota to ye views jyada hota,NA
abi bilawal meray samney hota to uski cheer ker rakh deta tumharey baap ki jageer hai ke tumhen hissa kernay dein,A
yeh larki mery aisaab per sawar ho jati hai,A
arey bigboss ka chutiyapa band karo bhenchod,A
bhenchod itna lar kyun rhy ho?,A
